filename,category,group
370346170_844579850361611_4382731417159634535_n_jpg.rf.csu888BCdIQ2AkbigYsa.jpg,Everyday Casual Kurta,Everyday Casual
371743908_223237863703481_5637720983005809601_n_jpg.rf.cu0NfnF84YoD9D1SEt05.jpg,Everyday Casual Kurta,Everyday Casual
312983853_562009715928123_2297550151814928272_n_jpg.rf.cesgAHcWfUphz6WBP0SM.jpg,Other,Other
305196929_1225221534721291_2840542277074826846_n_webp.rf.cWBmTGkZ0d4iQS5WGhOc.webp,Everyday Casual Kurta,Everyday Casual
366443394_1055238748950379_6316607089149606727_n_webp.rf.d8tXf4O60mSkGDW2LVuG.webp,Everyday Casual Kurta,Everyday Casual
326248834_1228953491161404_2422113883730125746_n_jpg.rf.cvnaaCh6d5y6zRIqBTAQ.jpg,Semi-Formal Kurta,Semi Formal
360125480_599474282332766_2333852652537292727_n_jpg.rf.d9gvKfcYXi3GPoAKmV64.jpg,Other,Other
366117799_674906227432061_2822957472114465921_n_jpg.rf.d3gwUMQLX3Pqm19FcqeS.jpg,Everyday Casual Kurta,Everyday Casual
337326460_882179059740771_7305243811080887805_n_jpg.rf.dCBiAXM4tU5sqrlzLb8W.jpg,Everyday Casual Kurta,Everyday Casual
277930808_1157399805058133_5755464628735335954_n_jpg.rf.ktbt5i0skhJrNG2JJoIA.jpg,Wedding Guest Dupatta,Formal
387277263_1375768406482940_5878966538288765001_n_jpg.rf.kxk5DtG28uY1jwR9kT6u.jpg,Everyday Casual Kurta,Everyday Casual
365466271_670450061782019_7606068715455018895_n_jpg.rf.lRwBZdACkZA5MKsPaSnZ.jpg,Everyday Casual Trousers,Everyday Casual
334049424_222269446957643_5083569043473214472_n_jpg.rf.lkEjrN999t6NjoTteJgs.jpg,Semi-Formal Trousers,Semi Formal
347072704_1896349454069035_9198339098038450824_n_jpg.rf.dG1UZftU85CaCcT5kAVr.jpg,Other,Other
301399130_604554257873280_652424448102661149_n_webp.rf.mPqohsz3UMdf88iRRETw.webp,Everyday Casual Kurta,Everyday Casual
315571169_800940227683010_2135799004283487085_n_jpg.rf.mPIDKC0f8eLygtRmswJY.jpg,Other,Other
347849725_1429663357846662_4586600347248028133_n_jpg.rf.m6plGOHd8qW5FJVQHEfu.jpg,Other,Other
383215750_752260923399978_5933720815070328988_n_jpg.rf.mtbLeaxC6qqOVftmEyCB.jpg,Everyday Casual Dupatta,Everyday Casual
387722770_274940025509665_1293177212614386907_n_jpg.rf.mLe81fIzu9Qe2d2lVtYH.jpg,Wedding Guest Kurta,Formal
310860159_633255824838683_330387966972004080_n_jpg.rf.mihBYR8ycGzl2NlxwWN1.jpg,Other,Other
294628929_585650039619725_7665031313025630874_n_jpg.rf.nBmr0gJG1ZzTHMdkTFbo.jpg,Other,Other
386591578_866840278135568_4821429873736284450_n_jpg.rf.my3nO5aEJvgsH3SuVxjv.jpg,Everyday Casual Kurta,Everyday Casual
332187344_168759215482769_4466570412542454403_n_jpg.rf.mv32A9Cu6XJ9hfM39kRp.jpg,Semi-Formal Kurta,Semi Formal
352288770_811009754059719_2548321498626334283_n_jpg.rf.nTZ6I8tTIH3anjm8O92J.jpg,Everyday Casual Kurta,Everyday Casual
313919829_609210270894289_1005489041269547268_n_jpg.rf.nKHH820gJ1Lb1Ndq58Lx.jpg,Everyday Casual Kurta,Everyday Casual
317519941_837430730806160_2905670096257338881_n_jpg.rf.n8EwveAQL80ZplMfmuTN.jpg,Everyday Casual Kurta,Everyday Casual
371244637_1442112232999921_1991043722216145346_n_jpg.rf.nOq9D57JiuZ0XcwPUeCm.jpg,Everyday Casual Kurta,Everyday Casual
315980478_806645183739476_9153643455246787798_n_jpg.rf.nd3kXxWGqPONxNtmi1ul.jpg,Other,Other
336252552_1843450566020917_1542819741872276206_n_jpg.rf.naUWR61GkMbJt9vRqhDu.jpg,Everyday Casual Kurta,Everyday Casual
image13_jpg.rf.oXdvkO5HVMUisZ8kkGia.jpg,Wedding Guest Dupatta,Formal
351545567_264703359469051_6134643341707925094_n_jpg.rf.ncDKLUONcXdcPPPQuCly.jpg,Everyday Casual Kurta,Everyday Casual
355159845_3233760863594595_230234970970053523_n_jpg.rf.ne1e5WhCr3r1h4SiEDpa.jpg,Everyday Casual Kurta,Everyday Casual
315071040_537522541069470_8046730190259093380_n_jpg.rf.okPXnnAgWqsQ2zkyjndE.jpg,Other,Other
365741291_229577736717157_2143828535229861199_n_jpg.rf.nyOMtoyo4cPSnkfkUBIK.jpg,Everyday Casual Kurta,Everyday Casual
318229019_481840793838869_6537246949664467023_n_jpg.rf.orFNkNcj4WnU6gv9kQ18.jpg,Everyday Casual Dupatta,Everyday Casual
344174126_255539817039752_789353588042872526_n_jpg.rf.pRokT2zNhZyCH8xyIQbz.jpg,Other,Other
